criminal_id,timestamp,latitude,longitude,crime_type,prev_latitude,prev_longitude,future_latitude,future_longitude
1,2023-03-22 09:01:37.582108692,19.174786958143255,72.80900031949646,murder,19.056255531347716,72.74060822020621,18.99850303198874,72.9840793291578
1,2023-05-11 23:04:58.665311412,18.99850303198874,72.9840793291578,robbery,19.174786958143255,72.80900031949646,19.011065203689004,72.83442541822319
1,2023-06-19 15:24:22.673010826,19.011065203689004,72.83442541822319,fraud,18.99850303198874,72.9840793291578,19.179727833160918,72.91319674666263
1,2024-01-03 03:23:47.409057252,19.179727833160918,72.91319674666263,robbery,19.011065203689004,72.83442541822319,18.968557111524586,72.8372359028736
1,2024-01-09 16:07:20.712096528,18.968557111524586,72.8372359028736,robbery,19.179727833160918,72.91319674666263,19.1241066679309,72.86106525270067
1,2024-02-12 17:44:00.481799704,19.1241066679309,72.86106525270067,murder,18.968557111524586,72.8372359028736,18.92105855140011,72.80891776155394
1,2024-02-24 12:57:28.358622192,18.92105855140011,72.80891776155394,fraud,19.1241066679309,72.86106525270067,18.895053455108258,72.75186156142135
1,2024-04-11 15:00:52.529760752,18.895053455108258,72.75186156142135,robbery,18.92105855140011,72.80891776155394,19.152285826146677,72.95198884091262
1,2024-04-26 06:31:07.430790208,19.152285826146677,72.95198884091262,theft,18.895053455108258,72.75186156142135,19.033919221328308,72.97172979820428
1,2024-09-07 11:46:10.756699360,19.033919221328308,72.97172979820428,assault,19.152285826146677,72.95198884091262,18.980770637104616,72.93522108756919
1,2024-11-06 13:27:24.848478360,18.980770637104616,72.93522108756919,assault,19.033919221328308,72.97172979820428,18.921963032197077,72.93583758892623
1,2024-12-07 22:49:41.602864760,18.921963032197077,72.93583758892623,theft,18.980770637104616,72.93522108756919,19.160313519744733,72.85611998372109
1,2024-12-14 02:11:28.855870856,19.160313519744733,72.85611998372109,fraud,18.921963032197077,72.93583758892623,18.938693443423983,72.95236512263874
2,2023-04-16 07:25:22.097296362,19.11794863329421,72.96035066085484,murder,18.9954302497655,72.7842529748177,19.098230472351794,72.90427184095817
